 t	x0	y0	z0	n
1.943887775551102148e+00	4.832482190471573125e-01	-4.952127478681514483e-01	7.219664072078597616e-01	0.000000000000000000e+00
1.953907815631262368e+00	4.770738216390797981e-01	-5.010532897962877152e-01	7.220430523805355660e-01	0.000000000000000000e+00
1.963927855711422810e+00	4.708284624869734647e-01	-5.068172266982783336e-01	7.221196975806839502e-01	0.000000000000000000e+00
1.973947895791583029e+00	4.645130877131047886e-01	-5.125036914874889771e-01	7.221963428008579822e-01	0.000000000000000000e+00
1.983967935871743471e+00	4.581286540977895227e-01	-5.181118287122508104e-01	7.222729880336071773e-01	0.000000000000000000e+00
1.993987975951903691e+00	4.516761289369153332e-01	-5.236407946876594499e-01	7.223496332714786083e-01	0.000000000000000000e+00
2.004008016032063910e+00	4.451564898978235263e-01	-5.290897576256339274e-01	7.224262785070160175e-01	0.000000000000000000e+00
2.014028056112224352e+00	4.385707248735736807e-01	-5.344578977632200578e-01	7.225029237327607046e-01	0.000000000000000000e+00
2.024048096192384794e+00	4.319198318356101685e-01	-5.397444074891140087e-01	7.225795689412505274e-01	0.000000000000000000e+00
2.034068136272544791e+00	4.252048186848539357e-01	-5.449484914683890846e-01	7.226562141250204574e-01	0.000000000000000000e+00
2.044088176352705233e+00	4.184267031012401938e-01	-5.500693667654042995e-01	7.227328592766029125e-01	0.000000000000000000e+00
2.054108216432865675e+00	4.115865123917247792e-01	-5.551062629648750857e-01	7.228095043885267579e-01	0.000000000000000000e+00
2.064128256513026116e+00	4.046852833367813318e-01	-5.600584222910889309e-01	7.228861494533184162e-01	0.000000000000000000e+00
2.074148296593186114e+00	3.977240620354118850e-01	-5.649250997252442952e-01	7.229627944635012016e-01	0.000000000000000000e+00
2.084168336673346555e+00	3.907039037486936262e-01	-5.697055631208960413e-01	7.230394394115954304e-01	0.000000000000000000e+00
2.094188376753506997e+00	3.836258727418851988e-01	-5.743990933174883962e-01	7.231160842901186436e-01	0.000000000000000000e+00
2.104208416833667439e+00	3.764910421251150829e-01	-5.790049842519574552e-01	7.231927290915854956e-01	0.000000000000000000e+00
2.114228456913827436e+00	3.693004936926765347e-01	-5.835225430683848025e-01	7.232693738085073099e-01	0.000000000000000000e+00
2.124248496993987878e+00	3.620553177609526774e-01	-5.879510902256862570e-01	7.233460184333928567e-01	0.000000000000000000e+00
2.134268537074148320e+00	3.547566130049945587e-01	-5.922899596033163183e-01	7.234226629587480195e-01	0.000000000000000000e+00
2.144288577154308317e+00	3.474054862937780985e-01	-5.965384986049730998e-01	7.234993073770755734e-01	0.000000000000000000e+00
2.154308617234468759e+00	3.400030525241630186e-01	-6.006960682602865420e-01	7.235759516808752956e-01	0.000000000000000000e+00
2.164328657314629201e+00	3.325504344535789580e-01	-6.047620433244733640e-01	7.236525958626444099e-01	0.000000000000000000e+00
2.174348697394789642e+00	3.250487625314636420e-01	-6.087358123759427642e-01	7.237292399148768096e-01	0.000000000000000000e+00
2.184368737474949640e+00	3.174991747294776401e-01	-6.126167779118369960e-01	7.238058838300637232e-01	0.000000000000000000e+00
2.194388777555110082e+00	3.099028163705216388e-01	-6.164043564414922738e-01	7.238825276006933818e-01	0.000000000000000000e+00
2.204408817635270523e+00	3.022608399565809290e-01	-6.200979785778025777e-01	7.239591712192511297e-01	0.000000000000000000e+00
2.214428857715430965e+00	2.945744049954236998e-01	-6.236970891264755901e-01	7.240358146782197579e-01	0.000000000000000000e+00
2.224448897795590963e+00	2.868446778261772856e-01	-6.272011471731601118e-01	7.241124579700782826e-01	0.000000000000000000e+00
2.234468937875751404e+00	2.790728314438107871e-01	-6.306096261684381865e-01	7.241891010873039436e-01	0.000000000000000000e+00
2.244488977955911846e+00	2.712600453225474939e-01	-6.339220140106607282e-01	7.242657440223699838e-01	0.000000000000000000e+00
2.254509018036071843e+00	2.634075052382362503e-01	-6.371378131266196565e-01	7.243423867677476480e-01	0.000000000000000000e+00
2.264529058116232285e+00	2.555164030897055238e-01	-6.402565405500373341e-01	7.244190293159046279e-01	0.000000000000000000e+00
2.274549098196392727e+00	2.475879367191294589e-01	-6.432777279978649787e-01	7.244956716593063950e-01	0.000000000000000000e+00
2.284569138276553169e+00	2.396233097314304228e-01	-6.462009219443747288e-01	7.245723137904145350e-01	0.000000000000000000e+00
2.294589178356713166e+00	2.316237313127475217e-01	-6.490256836930351492e-01	7.246489557016890792e-01	0.000000000000000000e+00
